country,date,GDP,HouseholdsExpenditurePerecent,FDIInflows,Gov,Exports,Imports
Cyprus,2005,18433411267.2553,61.5709795763223,6.30362711595489,16.5136248030502,55.6921102559885,56.2249625665534
Cyprus,2004,17320552500.0,61.4763010591031,6.45961962556633,16.5771270864483,56.889798983029,57.0138062859138
Cyprus,2003,14547325028.3126,60.8929593482061,6.24271140036787,17.9116264267489,57.7621459324228,56.2425225499031
Cyprus,2002,11420227884.6154,61.7602774159919,9.66223911887501,16.6093614089103,62.4053120319487,61.2360305015468
Cyprus,2001,10397897085.6102,61.6004830036478,9.08590329543211,15.9360372276481,68.2088670199269,63.6402239453806
Cyprus,2000,9985844486.33365,61.9036787324111,8.56086119538577,15.0863885456708,69.9628437276103,67.5320984530317
Cyprus,1999,10497908306.3646,61.3543808644882,7.74491695257071,16.0601161519719,66.9264571223466,64.2828627390816
Cyprus,1998,10248617647.0588,62.3698284880711,3.37019249936109,16.0644112913142,68.6974890554713,66.21226259628
Cyprus,1997,9547818700.11403,62.5147475284044,5.72402170347715,14.7896258131518,69.1855924872905,70.5773507342326
Cyprus,1996,10011918444.1656,63.0234680147212,2.33471192487906,13.1499483864839,70.2076408556477,70.6412896348505
Cyprus,1995,9933133247.08926,61.8585829802175,2.4477353979412,12.4154892377387,66.7633198546764,67.6272467177682
Cyprus,1994,7425703928.57143,58.2244495563536,1.01234939241526,16.6570788310545,47.6894839198586,48.0866676853291
Cyprus,1993,6590291048.29211,59.4741513156083,1.26599855442852,16.871774699588,47.4913742815193,47.9250010692282
Cyprus,1992,6912150456.32334,63.4470969379658,1.55438041121155,19.037030459033,49.4569602638771,60.6400470769365
Cyprus,1991,5770197348.48485,65.7083070286074,1.41799293512939,18.4581440470751,47.0856508133278,57.094254102569
Cyprus,1990,5591130217.66965,61.2239360188365,2.26457722241848,17.337715739492,51.5005647205938,57.1076439963087
Czech Republic,2017,215913545038.43,47.4163938622625,5.20335162117526,19.1873740778921,79.7260774989712,72.202798068737
Czech Republic,2016,195090272402.729,47.0360256628055,5.56184179486256,19.267615913624,79.5556198733638,71.8390558705031
Czech Republic,2015,186829940545.759,46.8293868531217,0.909872695798491,19.2160944065462,81.0493010657814,75.0505626571141
Czech Republic,2014,207818330723.835,48.0705245435046,3.89217924218107,19.684667006198,82.5456924295555,76.1812643131131
Czech Republic,2013,209402444996.104,49.413585910445,3.51360685053457,20.1556417954734,76.8709518101924,71.1072226148134
Czech Republic,2012,207376427020.815,49.2063621083413,4.54882936324756,19.8053061248618,76.1700746223071,71.3673843176896
Czech Republic,2011,227948349666.354,49.0542187118454,1.83758140711468,20.1589090066204,71.3071567311351,67.4778215335339
Czech Republic,2010,207477857918.919,48.9570630799422,4.90068409072939,20.8282775565911,66.0295210253014,62.9375560257456
Czech Republic,2009,206179982164.402,48.613210482675,2.5568019001909,20.9977892885957,58.6842997764355,54.8084690422803
Czech Republic,2008,235718586901.129,47.369348356422,3.73979546458325,19.4049278388277,63.2263674242076,61.0624641380954
Czech Republic,2007,189227050759.595,46.0605236767526,7.30109989467388,19.4221686474657,66.4089661851449,63.963936515476
Czech Republic,2006,155463807112.889,46.9721287702851,4.58756448858037,20.2437487154115,65.1862987851849,62.4462038523137
Czech Republic,2005,136280689891.224,47.8470754818402,10.0749157451568,20.6795794459362,62.181957290981,59.8333012244363
Czech Republic,2004,119162172468.268,48.8562076563686,5.39052370203125,20.9822938803126,57.3404444293512,56.5278907957174
Czech Republic,2003,99627140274.3805,49.90104548065,2.02884047498329,22.2604258068832,46.9073243423848,48.1078728799145
Czech Republic,2002,81910771993.9155,49.8649336004332,10.3730056852681,21.2871283436578,45.1241477243064,46.4018340987842
Czech Republic,2001,67523642262.4009,49.8792396086296,8.35367738895765,19.825612883808,49.0279401738654,50.2820338206968
Czech Republic,2000,61649492816.5201,50.5695780394412,8.08940820341585,19.871076362753,48.1922910591063,50.0408297410306
Czech Republic,1999,64867483193.1315,51.0145971957936,9.7315270536516,20.2436478139436,42.9203399724494,43.340912952408
Czech Republic,1998,66490372105.1262,50.6299184351019,5.56497019114411,19.3101064159386,42.2085185863327,42.4800909807123
Czech Republic,1997,61792161168.0011,51.4967644768919,2.08196775905492,20.3383833871524,40.4614736627143,44.6126944823801
Czech Republic,1996,66985765439.1937,49.6118991916812,2.14266287582651,19.6521336470257,38.3168292873398,43.176421157296
Czech Republic,1995,59775697061.0399,49.002330364645,4.29533199588641,20.3611592445257,40.3995847324241,43.4953704725087
Czech Republic,1994,47554674590.9328,49.5390067925319,1.84678319698292,21.3760477755153,37.2718043516157,38.4277812505438
Czech Republic,1993,40614350197.2353,50.2356675163159,1.61095381682886,21.0853224832063,40.1256093924945,39.0089635718215
Czech Republic,1992,34590052812.1684,51.6197323190971,,20.7234132251379,40.0459295129956,38.8491865324229
Czech Republic,1991,29675502269.5661,47.6572776929713,,21.7221254996356,38.6081648918862,33.0100951008773
Czech Republic,1990,40477403219.5176,49.577142876251,,22.0731052581619,33.0772640557094,30.7291275401002
Germany,2017,3656749414477.08,52.2948915096811,2.28190525300624,19.856517277403,47.3974341985646,40.2959639320922
Germany,2016,3466790065011.83,52.6402156919052,1.80644786194277,19.7828403688459,46.023196451932,38.6599661784882
Germany,2015,3360549973888.58,52.8783163425267,1.85925318614581,19.560208180009,46.8485876563908,39.2865511357823
Germany,2014,3883920155292.26,53.4222509163328,0.509254907314544,19.5890251859139,45.6192633128717,39.0008300796262
Germany,2013,3732743446218.92,54.556849911964,1.80564570696419,19.6309246447436,45.4186778593914,39.6601988368577
Germany,2012,3527344944139.83,54.9069503990442,1.85530728263463,19.2768758355158,46.3071201430804,40.2069347359679
Germany,2011,3744408602683.94,54.3866852789617,2.60482800628751,19.0699297583867,45.0571362806101,40.148984986412
Germany,2010,3396354075663.73,55.1086803930744,2.53323122929551,19.5632116674466,42.565473405085,37.3031508345032
Germany,2009,3397791053070.3,56.4407354859285,1.66878763023798,19.9916998196857,38.1199069398503,33.1088059597748
Germany,2008,3730027830672.33,54.2246778899583,0.829879478203399,18.2555596134287,43.7991902579629,37.7256144732553
Germany,2007,3421229126745.14,53.993918905403,1.48622562106473,17.8550539097037,43.3227580964574,36.5516592986738
Germany,2006,2992196713084.93,55.6854277424657,2.92240676746508,18.3277709762356,41.4329079108458,36.0168212387006
Germany,2005,2845802760850.64,56.5385371737221,2.1025770249554,18.7759088585026,38.0595723481521,32.8591405884692
Germany,2004,2809187981127.39,56.1430175202871,-0.726488212759352,18.8173806198398,35.713363859767,30.5128352456553
Germany,2003,2496128668171.56,56.4634626080115,2.62011797882026,19.3256374430834,32.8117129460067,29.0376067680426
Germany,2002,2068624129493.69,55.7417702400233,2.47837266130958,19.2315706148891,32.5925791130602,28.3423107018725
