"TIME","GEO","SIEC","PLANT_TEC","UNIT","Value"
"1993","Serbia","Wind","Net maximum electrical capacity","Megawatt",":"
"1993","Turkey","Wind","Net maximum electrical capacity","Megawatt",":"
"1993","Bosnia and Herzegovina","Wind","Net maximum electrical capacity","Megawatt",":"
"1993","Kosovo (under United Nations Security Council Resolution 1244/99)","Wind","Net maximum electrical capacity","Megawatt",":"
"1993","Moldova","Wind","Net maximum electrical capacity","Megawatt",":"
"1993","Ukraine","Wind","Net maximum electrical capacity","Megawatt",":"
"1993","Georgia","Wind","Net maximum electrical capacity","Megawatt",":"
"1994","European Union - 27 countries (from 2020)","Wind","Net maximum electrical capacity","Megawatt","1,473.737"
"1994","European Union - 28 countries (2013-2020)","Wind","Net maximum electrical capacity","Megawatt","1,626.737"
"1994","Euro area - 19 countries  (from 2015)","Wind","Net maximum electrical capacity","Megawatt","912.500"
"1994","Belgium","Wind","Net maximum electrical capacity","Megawatt","5.000"
"1994","Bulgaria","Wind","Net maximum electrical capacity","Megawatt",":"
"1994","Czechia","Wind","Net maximum electrical capacity","Megawatt",":"
"1994","Denmark","Wind","Net maximum electrical capacity","Megawatt","521.237"
"1994","Germany (until 1990 former territory of the FRG)","Wind","Net maximum electrical capacity","Megawatt","643.000"
"1994","Estonia","Wind","Net maximum electrical capacity","Megawatt",":"
"1994","Ireland","Wind","Net maximum electrical capacity","Megawatt","6.500"
"1994","Greece","Wind","Net maximum electrical capacity","Megawatt","27.000"
"1994","Spain","Wind","Net maximum electrical capacity","Megawatt","41.000"
"1994","France","Wind","Net maximum electrical capacity","Megawatt","3.000"
"1994","Croatia","Wind","Net maximum electrical capacity","Megawatt",":"
"1994","Italy","Wind","Net maximum electrical capacity","Megawatt","21.000"
"1994","Cyprus","Wind","Net maximum electrical capacity","Megawatt",":"
"1994","Latvia","Wind","Net maximum electrical capacity","Megawatt",":"
"1994","Lithuania","Wind","Net maximum electrical capacity","Megawatt",":"
"1994","Luxembourg","Wind","Net maximum electrical capacity","Megawatt",":"
"1994","Hungary","Wind","Net maximum electrical capacity","Megawatt",":"
"1994","Malta","Wind","Net maximum electrical capacity","Megawatt",":"
"1994","Netherlands","Wind","Net maximum electrical capacity","Megawatt","152.000"
"1994","Austria","Wind","Net maximum electrical capacity","Megawatt","1.000"
"1994","Poland","Wind","Net maximum electrical capacity","Megawatt",":"
"1994","Portugal","Wind","Net maximum electrical capacity","Megawatt","8.000"
"1994","Romania","Wind","Net maximum electrical capacity","Megawatt",":"
"1994","Slovenia","Wind","Net maximum electrical capacity","Megawatt",":"
"1994","Slovakia","Wind","Net maximum electrical capacity","Megawatt",":"
"1994","Finland","Wind","Net maximum electrical capacity","Megawatt","5.000"
"1994","Sweden","Wind","Net maximum electrical capacity","Megawatt","40.000"
"1994","United Kingdom","Wind","Net maximum electrical capacity","Megawatt","153.000"
"1994","Iceland","Wind","Net maximum electrical capacity","Megawatt",":"
"1994","Norway","Wind","Net maximum electrical capacity","Megawatt","3.000"
"1994","Montenegro","Wind","Net maximum electrical capacity","Megawatt",":"
"1994","North Macedonia","Wind","Net maximum electrical capacity","Megawatt",":"
"1994","Albania","Wind","Net maximum electrical capacity","Megawatt",":"
"1994","Serbia","Wind","Net maximum electrical capacity","Megawatt",":"
"1994","Turkey","Wind","Net maximum electrical capacity","Megawatt",":"
"1994","Bosnia and Herzegovina","Wind","Net maximum electrical capacity","Megawatt",":"
"1994","Kosovo (under United Nations Security Council Resolution 1244/99)","Wind","Net maximum electrical capacity","Megawatt",":"
"1994","Moldova","Wind","Net maximum electrical capacity","Megawatt",":"
"1994","Ukraine","Wind","Net maximum electrical capacity","Megawatt",":"
"1994","Georgia","Wind","Net maximum electrical capacity","Megawatt",":"
"1995","European Union - 27 countries (from 2020)","Wind","Net maximum electrical capacity","Megawatt","2,230.999"
"1995","European Union - 28 countries (2013-2020)","Wind","Net maximum electrical capacity","Megawatt","2,430.999"
"1995","Euro area - 19 countries  (from 2015)","Wind","Net maximum electrical capacity","Megawatt","1,564.500"
"1995","Belgium","Wind","Net maximum electrical capacity","Megawatt","5.000"
"1995","Bulgaria","Wind","Net maximum electrical capacity","Megawatt",":"
"1995","Czechia","Wind","Net maximum electrical capacity","Megawatt",":"
"1995","Denmark","Wind","Net maximum electrical capacity","Megawatt","599.499"
"1995","Germany (until 1990 former territory of the FRG)","Wind","Net maximum electrical capacity","Megawatt","1,137.000"
"1995","Estonia","Wind","Net maximum electrical capacity","Megawatt",":"
"1995","Ireland","Wind","Net maximum electrical capacity","Megawatt","6.500"
"1995","Greece","Wind","Net maximum electrical capacity","Megawatt","27.000"
"1995","Spain","Wind","Net maximum electrical capacity","Megawatt","98.000"
"1995","France","Wind","Net maximum electrical capacity","Megawatt","3.000"
"1995","Croatia","Wind","Net maximum electrical capacity","Megawatt",":"
"1995","Italy","Wind","Net maximum electrical capacity","Megawatt","22.000"
"1995","Cyprus","Wind","Net maximum electrical capacity","Megawatt",":"
"1995","Latvia","Wind","Net maximum electrical capacity","Megawatt","1.000"
"1995","Lithuania","Wind","Net maximum electrical capacity","Megawatt",":"
